Game_Number,Winner,Starting_Player,Piece_Difference,King_Difference,Move_Count,Captures_Red,Captures_Blue,Promotions_Red,Promotions_Blue,Outcome_Description
1,RED,BLUE,7,1,90,20,13,1,0,"RED won with 7 more pieces and 1 more king after 90 moves, capturing 20 pieces and promoting 1 pawn"
2,RED,RED,13,1,67,20,7,1,0,"RED won with 13 more pieces and 1 more king after 67 moves, capturing 20 pieces and promoting 1 pawn"
3,RED,BLUE,16,3,48,20,4,3,0,"RED won with 16 more pieces and 3 more kings after 48 moves, capturing 20 pieces and promoting 3 pawns"
4,RED,RED,9,2,75,20,11,2,0,"RED won with 9 more pieces and 2 more kings after 75 moves, capturing 20 pieces and promoting 2 pawns"
5,RED,BLUE,9,1,90,20,11,1,0,"RED won with 9 more pieces and 1 more king after 90 moves, capturing 20 pieces and promoting 1 pawn"
6,RED,RED,11,1,82,19,8,1,0,"RED won with 11 more pieces and 1 more king after 82 moves, capturing 19 pieces and promoting 1 pawn"
7,RED,BLUE,11,1,86,20,9,1,0,"RED won with 11 more pieces and 1 more king after 86 moves, capturing 20 pieces and promoting 1 pawn"
8,RED,RED,13,1,75,20,7,1,0,"RED won with 13 more pieces and 1 more king after 75 moves, capturing 20 pieces and promoting 1 pawn"
9,RED,BLUE,9,1,74,20,11,1,0,"RED won with 9 more pieces and 1 more king after 74 moves, capturing 20 pieces and promoting 1 pawn"
10,RED,RED,11,1,65,18,7,1,0,"RED won with 11 more pieces and 1 more king after 65 moves, capturing 18 pieces and promoting 1 pawn"
11,RED,BLUE,11,2,82,20,9,2,0,"RED won with 11 more pieces and 2 more kings after 82 moves, capturing 20 pieces and promoting 2 pawns"
12,RED,RED,11,1,87,20,9,1,1,"RED won with 11 more pieces and 1 more king after 87 moves, capturing 20 pieces and promoting 1 pawn"
13,RED,BLUE,13,2,74,20,7,2,0,"RED won with 13 more pieces and 2 more kings after 74 moves, capturing 20 pieces and promoting 2 pawns"
14,RED,RED,9,1,77,20,11,1,0,"RED won with 9 more pieces and 1 more king after 77 moves, capturing 20 pieces and promoting 1 pawn"
15,RED,BLUE,1,1,110,20,19,1,1,"RED won with 1 more piece and 1 more king after 110 moves, capturing 20 pieces and promoting 1 pawn"
16,RED,RED,9,1,67,20,11,1,0,"RED won with 9 more pieces and 1 more king after 67 moves, capturing 20 pieces and promoting 1 pawn"
17,RED,BLUE,13,1,74,20,7,1,0,"RED won with 13 more pieces and 1 more king after 74 moves, capturing 20 pieces and promoting 1 pawn"
18,RED,RED,7,1,111,20,13,1,0,"RED won with 7 more pieces and 1 more king after 111 moves, capturing 20 pieces and promoting 1 pawn"
19,RED,BLUE,9,1,86,20,11,1,0,"RED won with 9 more pieces and 1 more king after 86 moves, capturing 20 pieces and promoting 1 pawn"
20,RED,RED,12,1,77,20,8,1,0,"RED won with 12 more pieces and 1 more king after 77 moves, capturing 20 pieces and promoting 1 pawn"
21,RED,BLUE,10,1,81,19,9,1,0,"RED won with 10 more pieces and 1 more king after 81 moves, capturing 19 pieces and promoting 1 pawn"
22,RED,RED,5,1,93,20,15,1,0,"RED won with 5 more pieces and 1 more king after 93 moves, capturing 20 pieces and promoting 1 pawn"
23,RED,BLUE,9,1,72,20,11,1,0,"RED won with 9 more pieces and 1 more king after 72 moves, capturing 20 pieces and promoting 1 pawn"
24,RED,RED,12,1,77,20,8,1,0,"RED won with 12 more pieces and 1 more king after 77 moves, capturing 20 pieces and promoting 1 pawn"
25,RED,BLUE,10,1,72,19,9,1,0,"RED won with 10 more pieces and 1 more king after 72 moves, capturing 19 pieces and promoting 1 pawn"
26,RED,RED,4,1,103,20,16,1,0,"RED won with 4 more pieces and 1 more king after 103 moves, capturing 20 pieces and promoting 1 pawn"
27,RED,BLUE,6,1,78,20,14,1,0,"RED won with 6 more pieces and 1 more king after 78 moves, capturing 20 pieces and promoting 1 pawn"
28,RED,RED,10,1,71,20,10,1,0,"RED won with 10 more pieces and 1 more king after 71 moves, capturing 20 pieces and promoting 1 pawn"
29,RED,BLUE,15,1,72,20,5,1,0,"RED won with 15 more pieces and 1 more king after 72 moves, capturing 20 pieces and promoting 1 pawn"
30,RED,RED,11,1,83,20,9,1,0,"RED won with 11 more pieces and 1 more king after 83 moves, capturing 20 pieces and promoting 1 pawn"
31,RED,BLUE,6,0,84,20,14,0,0,"RED won with 6 more pieces and 0 more kings after 84 moves, capturing 20 pieces and promoting 0 pawns"
32,RED,RED,13,1,63,20,7,1,0,"RED won with 13 more pieces and 1 more king after 63 moves, capturing 20 pieces and promoting 1 pawn"
33,RED,BLUE,12,1,78,20,8,1,0,"RED won with 12 more pieces and 1 more king after 78 moves, capturing 20 pieces and promoting 1 pawn"
